frame,steering
0,NONE
1,NONE
2,NONE
3,NONE
4,NONE
5,NONE
6,NONE
7,NONE
8,NONE
9,NONE
10,NONE
11,NONE
12,NONE
13,NONE
14,LEFT TURN
15,LEFT TURN
16,NONE
17,NONE
18,NONE
19,NONE
20,NONE
21,NONE
22,NONE
23,NONE
24,NONE
25,NONE
26,NONE
27,NONE
28,NONE
29,NONE
30,NONE
31,NONE
32,NONE
33,NONE
34,NONE
35,NONE
36,NONE
37,NONE
38,NONE
39,NONE
40,NONE
41,NONE
42,NONE
43,NONE
44,NONE
45,NONE
46,NONE
47,NONE
48,NONE
49,NONE
50,NONE
51,NONE
52,NONE
53,NONE
54,NONE
55,NONE
56,NONE
57,NONE
58,NONE
59,NONE
60,NONE
61,NONE
62,NONE
63,NONE
64,NONE
65,NONE
66,NONE
67,NONE
68,NONE
69,NONE
70,NONE
71,NONE
72,NONE
73,NONE
74,NONE
75,NONE
76,NONE
77,NONE
78,NONE
79,NONE
80,NONE
81,NONE
82,NONE
83,NONE
84,NONE
85,NONE
86,NONE
87,NONE
88,NONE
89,NONE
90,NONE
91,NONE
92,NONE
93,NONE
94,NONE
95,NONE
96,NONE
97,NONE
98,NONE
99,NONE
100,NONE
101,NONE
102,NONE
103,NONE
104,NONE
105,NONE
106,NONE
107,NONE
108,NONE
109,NONE
110,NONE
111,NONE
112,NONE
113,NONE
114,NONE
115,NONE
116,NONE
117,NONE
118,NONE
119,NONE
120,LEFT TURN
121,NONE
122,LEFT TURN
123,LEFT TURN
124,NONE
125,NONE
126,NONE
127,NONE
128,NONE
129,LEFT TURN
130,NONE
131,LEFT TURN
132,LEFT TURN
133,NONE
134,NONE
135,LEFT TURN
136,NONE
137,NONE
138,NONE
139,NONE
140,NONE
141,NONE
142,NONE
143,NONE
144,NONE
145,NONE
146,NONE
147,NONE
148,NONE
149,NONE
150,NONE
151,NONE
152,NONE
153,NONE
154,NONE
155,NONE
156,NONE
157,NONE
158,NONE
159,NONE
160,NONE
161,NONE
162,NONE
163,NONE
164,NONE
165,NONE
166,NONE
167,NONE
168,NONE
169,NONE
170,NONE
171,NONE
172,NONE
173,NONE
174,NONE
175,NONE
176,NONE
177,NONE
178,NONE
179,NONE
180,NONE
181,NONE
182,NONE
183,NONE
184,NONE
185,NONE
186,NONE
187,NONE
188,NONE
189,NONE
190,NONE
191,NONE
192,NONE
193,NONE
194,NONE
195,RIGHT TURN
196,RIGHT TURN
197,NONE
198,RIGHT TURN
199,NONE
200,NONE
201,NONE
202,RIGHT TURN
203,NONE
204,NONE
205,RIGHT TURN
206,NONE
207,RIGHT TURN
208,NONE
209,RIGHT TURN
210,RIGHT TURN
211,RIGHT TURN
212,RIGHT TURN
213,NONE
214,NONE
215,NONE
216,NONE
217,NONE
218,NONE
219,NONE
220,RIGHT TURN
221,RIGHT TURN
222,NONE
223,NONE
224,NONE
225,NONE
226,NONE
227,NONE
228,NONE
229,NONE
230,NONE
231,NONE
232,NONE
233,NONE
234,NONE
235,NONE
236,NONE
237,NONE
238,NONE
239,NONE
240,NONE
241,NONE
242,NONE
243,NONE
244,NONE
245,NONE
246,NONE
247,NONE
248,LEFT TURN
249,NONE
250,NONE
251,NONE
252,NONE
253,NONE
254,RIGHT TURN
255,RIGHT TURN
256,NONE
257,RIGHT TURN
258,NONE
259,NONE
260,NONE
261,NONE
262,LEFT TURN
263,NONE
264,NONE
265,NONE
266,NONE
267,NONE
268,NONE
269,RIGHT TURN
270,NONE
271,RIGHT TURN
272,RIGHT TURN
273,NONE
274,NONE
275,NONE
276,NONE
277,NONE
278,NONE
279,NONE
280,LEFT TURN
281,LEFT TURN
282,LEFT TURN
283,LEFT TURN
284,LEFT TURN
285,LEFT TURN
286,LEFT TURN
287,LEFT TURN
288,LEFT TURN
289,LEFT TURN
290,LEFT TURN
291,LEFT TURN
292,NONE
293,NONE
294,NONE
295,LEFT TURN
296,NONE
297,NONE
298,NONE
299,NONE
300,NONE
301,NONE
302,NONE
303,NONE
304,NONE
305,NONE
306,NONE
307,LEFT TURN
308,NONE
309,LEFT TURN
310,NONE
311,NONE
312,NONE
313,NONE
314,NONE
315,NONE
316,NONE
317,NONE
318,NONE
319,NONE
320,NONE
321,NONE
322,NONE
323,NONE
324,NONE
325,NONE
326,NONE
327,NONE
328,NONE
329,NONE
330,NONE
331,NONE
332,NONE
333,RIGHT TURN
334,NONE
335,NONE
336,NONE
337,NONE
338,NONE
339,NONE
340,NONE
341,RIGHT TURN
342,NONE
343,NONE
344,NONE
345,NONE
346,NONE
347,NONE
348,NONE
349,NONE
350,NONE
351,NONE
352,NONE
353,NONE
354,NONE
355,NONE
356,NONE
357,NONE
358,NONE
359,NONE
360,NONE
361,NONE
362,NONE
363,NONE
364,NONE
365,RIGHT TURN
366,RIGHT TURN
367,NONE
368,NONE
369,NONE
370,NONE
371,NONE
372,NONE
373,NONE
374,NONE
375,NONE
376,NONE
377,NONE
378,NONE
379,NONE
380,NONE
381,NONE
382,NONE
383,NONE
384,LEFT TURN
385,NONE
386,NONE
387,LEFT TURN
388,LEFT TURN
389,NONE
390,LEFT TURN
